City,Column,Old,New
Avignon,Hood 4 Name,Les Halles / Market District,
Avignon,Hood 4 Vibe,shopping,
Avignon,Hood 4 Description,"The market quarter with Les Halles and a lively cafe scene, good for food-focused visitors.",
Avignon,Hood 4 Landmark,Les Halles d'Avignon covered food market,
Avignon,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=Les%20Halles%20/%20Market%20District%2C%20Avignon,
Avignon,Hood 4 High-end Hotel,Les Halles-district hotels,
Avignon,Hood 4 Mid-range Hotel,Market-area guesthouses,
Avignon,Hood 4 Budget Hotel,Central Avignon budget hotels,
Avignon,Hood 5 Name,Île de la Barthelasse,
Avignon,Hood 5 Vibe,quiet,
Avignon,Hood 5 Description,"A rural river island just across the Rhône, offering cycling paths, farms, and a quiet green escape from the walled city.",
Avignon,Hood 5 Landmark,The Île de la Barthelasse riverside park island,
Avignon,Hood 5 Photo File,images/hoods/avignon--ile-de-la-barthelasse.webp,
Avignon,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:Avignon_-_Jardin_des_Doms_(Rocher_des_Doms)_-_Panorama_View_on_Rh%C3%B4ne_valley_-_Escaliers_du_Rocher_des_Doms_04.jpg,
Avignon,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=%C3%8Ele%20de%20la%20Barthelasse%2C%20Avignon,
Avignon,Hood 5 High-end Hotel,Île de la Barthelasse campsites,
Avignon,Hood 5 Mid-range Hotel,Riverside eco-lodges,
Avignon,Hood 5 Budget Hotel,Rural guesthouses,
Bariloche,Hood 5 Name,Playa Bonita,
Bariloche,Hood 5 Vibe,quiet,
Bariloche,Hood 5 Description,"A quieter lakeside beach area west of downtown, popular with locals for sunset views over Nahuel Huapi Lake.",
Bariloche,Hood 5 Landmark,Playa Bonita's lakeside beach and sunset views,
Bariloche,Hood 5 Photo File,images/hoods/bariloche--playa-bonita.webp,
Bariloche,Hood 5 Photo Credit,"https://commons.wikimedia.org/wiki/File:DOM_Las_Terrenas,_Playa_Bonita_0015.jpg",
Bariloche,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Playa%20Bonita%2C%20Bariloche,
Bariloche,Hood 5 High-end Hotel,Playa Bonita lakeside cabanas,
Bariloche,Hood 5 Mid-range Hotel,Sunset-view guesthouses,
Bariloche,Hood 5 Budget Hotel,Quiet beach lodges,
Carcassonne,Hood 5 Name,Trivalle,
Carcassonne,Hood 5 Vibe,quiet,
Carcassonne,Hood 5 Description,"A quiet residential quarter directly beneath La Cité's ramparts, offering a more local, budget-friendly base.",
Carcassonne,Hood 5 Landmark,The Trivalle quarter beneath La Cité's walls,
Carcassonne,Hood 5 Photo File,images/hoods/carcassonne--trivalle.webp,
Carcassonne,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:Ancienne_gare_de_Mons-la-Trivalle.jpg,
Carcassonne,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Trivalle%2C%20Carcassonne,
Carcassonne,Hood 5 High-end Hotel,Trivalle guesthouses,
Carcassonne,Hood 5 Mid-range Hotel,Budget local inns,
Carcassonne,Hood 5 Budget Hotel,Rampart-view apartments,
Charlottetown,Hood 5 Name,Sherwood,
Charlottetown,Hood 5 Vibe,shopping,
Charlottetown,Hood 5 Description,"A suburban commercial strip with shopping centers and chain hotels, convenient for drivers and budget travelers.",
Charlottetown,Hood 5 Landmark,Sherwood's suburban shopping strip,
Charlottetown,Hood 5 Photo File,images/hoods/charlottetown--sherwood.webp,
