verdict,country,city,landmark,why,slug,idx,img,page
ROTATED,China,Qinhuangdao,Qinhuangdao Wildlife Park,"sideways; grass and rock, no wildlife",qinhuangdao,7,images/landmarks/qinhuangdao-qinhuangdao-wildlife-park.webp,https://commons.wikimedia.org/wiki/File:%E7%A7%A6%E7%9A%87%E5%B2%9B%E9%87%8E%E7%94%9F%E5%8A%A8%E7%89%A9%E5%9B%AD%E5%A4%A7%E9%97%A8.jpg
ROTATED,Colombia,Cali,Plaza de Cayzedo,"correct plaza, rotated 90 degrees",cali,6,images/landmarks/cali-plaza-de-cayzedo.webp,https://commons.wikimedia.org/w/index.php?search=Plaza%20de%20Cayzedo%20Cali&title=Special:MediaSearch
ROTATED,Germany,Freiburg,Freiburg Münster (Minster),"correct minster, rotated 90 degrees",freiburg,0,images/landmarks/freiburg-munster.webp,https://commons.wikimedia.org/wiki/File:Turm_des_Freiburger_M%C3%BCnster_2022.jpg
ROTATED,Italy,Capri,Giardini di Augusto and Via Krupp,rotated 90 degrees,capri,3,images/landmarks/capri-giardini-di-augusto-via-krupp.webp,https://commons.wikimedia.org/w/index.php?search=Giardini%20di%20Augusto%20and%20Via%20Krupp%20Capri&title=Special:MediaSearch
ROTATED,Italy,Capri,Villa Jovis,rotated 90 degrees,capri,6,images/landmarks/capri-villa-jovis.webp,https://commons.wikimedia.org/w/index.php?search=Villa%20Jovis%20Capri&title=Special:MediaSearch
ROTATED,Poland,Warsaw,St. John's Archcathedral,tilted / rotated,warsaw,7,images/landmarks/warsaw-st-john-s-archcathedral.webp,https://commons.wikimedia.org/wiki/File:StJohnsCathedralWarsawFacade.jpg
ROTATED,Türkiye,Kaş,Lion Tomb (King's Tomb),rotated 90 degrees,kas,1,images/landmarks/kas-lion-tomb.webp,https://commons.wikimedia.org/wiki/File:Antiphellos_Aslanlı_Lahit.jpg
WEAK,Argentina,El Calafate,Walichu Caves (Punta Walichu),"4x4s on a lakeshore, no caves",el-calafate,7,images/landmarks/el-calafate-walichu-caves-punta-walichu.webp,https://commons.wikimedia.org/wiki/File:Cerro_Frias_4x4_tours.jpg
WEAK,Argentina,Mendoza,Luján de Cuyo and Maipú Wineries,"stone wall and mountains, no winery",mendoza,3,images/landmarks/mendoza-lujan-de-cuyo-and-maipu-wineries.webp,https://commons.wikimedia.org/wiki/File:Bodega_Séptima.JPG
WEAK,Australia,Cairns,Great Barrier Reef,"boat on open water, no reef",cairns,1,images/landmarks/cairns-great-barrier-reef.webp,https://commons.wikimedia.org/w/index.php?search=Great%20Barrier%20Reef%20Cairns&title=Special:MediaSearch
WEAK,Chad,N'Djamena,Presidential Palace,gardens and a construction crane,n-djamena,2,images/landmarks/ndjamena-presidential-palace.webp,https://commons.wikimedia.org/wiki/File:Palais_de_la_pr%C3%A9sidence_du_Tchad.jpg
WEAK,China,Anshun,Longgong (Dragon Palace) Caves,"river and hills, no cave",anshun,0,images/landmarks/anshun-longgong.webp,"https://commons.wikimedia.org/wiki/File:%E9%BE%99%E5%AE%AB,_%E5%AE%89%E9%A1%BA_202403.jpg"
WEAK,China,Chengde,Yanyu Tower (Misty Rain Tower),decorated signboard only,chengde,9,images/landmarks/chengde-yanyu-tower.webp,https://commons.wikimedia.org/wiki/File:承德避暑山庄烟雨楼.JPG
WEAK,China,Jingdezhen,Ancient Kiln Folk Customs Museum (Guyao),"park and lake, museum not visible",jingdezhen,2,images/landmarks/jingdezhen-ancient-kiln-folk-museum.webp,https://commons.wikimedia.org/wiki/File:%E6%99%AF%E5%BE%B7%E9%95%87%E5%8F%A4%E7%AA%91%E6%B0%91%E4%BF%97%E5%8D%9A%E8%A7%88%E5%8C%BA_04.jpg
WEAK,China,Lijiang,Mu Family Mansion (Mufu Palace),a stone lion detail only,lijiang,2,images/landmarks/lijiang-mu-family-mansion.webp,https://commons.wikimedia.org/wiki/File:%E4%B8%BD%E6%B1%9F%E5%8F%A4%E5%9F%8E_%E6%9C%A8%E5%BA%9C_2026-04-01_02.jpg
WEAK,China,Wuyishan,Water Curtain Cave (Shuilian Dong),"path with umbrellas, no cave",wuyishan,4,images/landmarks/wuyishan-water-curtain-cave-shuilian-dong.webp,https://commons.wikimedia.org/wiki/File:%E6%AD%A6%E5%A4%B7%E5%B1%B1%E5%9B%BD%E5%AE%B6%E5%BA%A6%E5%81%87%E9%A3%8E%E6%99%AF%E5%8C%BA-%E6%B0%B4%E5%B8%98%E6%B4%9E%E6%99%AF%E5%8C%BA_-_panoramio.jpg
WEAK,Curaçao,Willemstad,Mikvé Israel-Emanuel Synagogue,partial corner of the building,willemstad,2,images/landmarks/willemstad-mikve-israel-emanuel-synagogue.webp,https://commons.wikimedia.org/wiki/File:Cura%C3%A7ao_synagogue1.jpg
WEAK,Côte d'Ivoire,Abidjan,Henri Konan Bédié Bridge,"water and skyline, bridge not visible",abidjan,3,images/landmarks/abidjan-henri-konan-bedie-bridge.webp,https://commons.wikimedia.org/wiki/File:Pont_HKB_panorama_Plateau.jpg
WEAK,Egypt,Aswan,Aswan High Dam,satellite image,aswan,2,images/landmarks/aswan-aswan-high-dam.webp,https://commons.wikimedia.org/wiki/File:BarragemAssuão.jpg
WEAK,Ethiopia,Mek'ele,Mekelle Salt Market,"city aerial, no market",mek-ele,3,images/landmarks/mek-ele-mekelle-salt-market.webp,https://commons.wikimedia.org/wiki/File:ET_Mekele_asv2018-01_img19_pano_from_Choma_(cropped).jpg
WEAK,France,Aix-en-Provence,Fontaine de la Rotonde,vintage postcard reproduction,aix-en-provence,2,images/landmarks/aix-en-provence-fontaine-de-la-rotonde.webp,https://commons.wikimedia.org/wiki/File:Bas_du_cours_mirabeau.jpg
WEAK,France,Saint-Tropez,Phare de Saint-Tropez,"coastline, lighthouse not visible",saint-tropez,9,images/landmarks/saint-tropez-phare-de-saint-tropez.webp,https://commons.wikimedia.org/wiki/File:Pointe_Sainte-Hospice.jpg
WEAK,Guatemala,Quetzaltenango,Cerro El Baúl,carved stones only,quetzaltenango,5,images/landmarks/quetzaltenango-cerro-el-baul.webp,https://commons.wikimedia.org/wiki/File:El_Ba%C3%BAl_3.jpg
WEAK,Guinea,Conakry,Camayenne Botanical Garden,"mosque and scrub, garden unclear",conakry,6,images/landmarks/conakry-camayenne-botanical-garden.webp,https://en.wikipedia.org/wiki/File:Conakrymosque.jpg
WEAK,Iceland,Reykjavík,Perlan,pond; Perlan barely visible,reykjavik,3,images/landmarks/reykjavik-perlan.webp,https://commons.wikimedia.org/wiki/File:20190623_PerlanWalk_8818_(48469788156).jpg
WEAK,Indonesia,Banda Aceh,Ulee Lheue Beach and Harbor,road and gateway,banda-aceh,9,images/landmarks/banda-aceh-ulee-lheue-beach-and-harbor.webp,https://commons.wikimedia.org/wiki/File:Pelabuhan%20Ul%C3%A8%C3%AB%20Lheu%C3%AB.JPG
WEAK,Iraq,Najaf,"House of Imam Ali (Dar al-Imam Ali, Kufa)",appears to duplicate the previous landmark's photo,najaf,6,images/landmarks/najaf-house-of-imam-ali-dar-al-imam-ali-kufa.webp,https://commons.wikimedia.org/wiki/File:ImamAliShrine2026.jpg
WEAK,Italy,Cortina d'Ampezzo,Lago di Sorapis,mountains; the lake is not visible,cortina-d-ampezzo,2,images/landmarks/cortina-d-ampezzo-lago-di-sorapis.webp,https://commons.wikimedia.org/w/index.php?curid=82986381
WEAK,Japan,Nagano,Kawanakajima Battlefield (Hachimanbara),empty snowy field,nagano,5,images/landmarks/nagano-kawanakajima-battlefield.webp,"https://commons.wikimedia.org/wiki/File:Hachimanpara_Historic_Park_No,1.JPG"
WEAK,Kazakhstan,Astana,Ishim River Embankment,"240x180 pixels, unusably small",astana,9,images/landmarks/astana-ishim-river-embankment.webp,https://commons.wikimedia.org/wiki/File:IshiminAstana.jpg
WEAK,Mexico,Cancún,Cenote Ik Kil,"a thatched shop, not the cenote",cancun,4,images/landmarks/cancun-cenote-ik-kil.webp,https://commons.wikimedia.org/w/index.php?search=Cenote%20Ik%20Kil%20Canc%C3%BAn&title=Special:MediaSearch
WEAK,Mexico,Ensenada,Bodegas de Santo Tomás,a wine barrel in a cellar,ensenada,7,images/landmarks/ensenada-bodegas-de-santo-tomas.webp,https://commons.wikimedia.org/wiki/File:Huge_Wine_Barrel.JPG
WEAK,Morocco,Agadir,Souk El Had,faded city view,agadir,2,images/landmarks/agadir-souk-el-had.webp,https://commons.wikimedia.org/wiki/File:C360_2015-04-28-16-25-59_-_Copie.jpg
WEAK,Nepal,Siddharthanagar,Tilaurakot (Kapilvastu),field and tree,siddharthanagar,8,images/landmarks/siddharthanagar-tilaurakot.webp,https://commons.wikimedia.org/wiki/File:Suddhodana_Palace-east_gate.JPG
WEAK,Northern Mariana Islands,Saipan,Micro Beach,tilted horizon,saipan,8,images/landmarks/saipan-micro-beach.webp,https://commons.wikimedia.org/wiki/File:Day_Starts_(4570970936).jpg
WEAK,Philippines,Baguio,BenCab Museum,obscured by fog,baguio,5,images/landmarks/baguio-bencab-museum.webp,https://commons.wikimedia.org/wiki/File:Fog%20outside%20BenCab%20Museum%2C%20Tuba%2C%20Benguet.jpg
WEAK,Poland,Sopot,Sopot Hippodrome,field; the hippodrome is unclear,sopot,9,images/landmarks/sopot-sopot-hippodrome.webp,https://commons.wikimedia.org/wiki/File:SopotKarlikowo-Hipodrom.JPG
WEAK,Tajikistan,Dushanbe,Dushanbe Zoo,cracked concrete yard,dushanbe,8,images/landmarks/dushanbe-dushanbe-zoo.webp,https://commons.wikimedia.org/wiki/File:Dushanbezoo_entrance.JPG
WEAK,Ukraine,Odessa,Passage Shopping Arcade,tilted interior,odessa,8,images/landmarks/odessa-passage-arcade.webp,https://commons.wikimedia.org/wiki/File:Пасаж_(Одеса)_1.jpg
WEAK,Uzbekistan,Samarkand,Siyob Bazaar,platters of dried fruit rather than the bazaar,samarkand,5,images/landmarks/samarkand-siyob-bazaar.webp,https://commons.wikimedia.org/wiki/File:13S_20240410_110.jpg
WEAK,Western Sahara,Laayoune,Foum el Oued Beach,desert and town; the beach is not visible,laayoune,8,images/landmarks/laayoune-foum-el-oued-beach.webp,https://commons.wikimedia.org/wiki/File:%D8%B4%D8%A7%D8%B7%D8%A6_%D9%81%D9%85_%D8%A7%D9%84%D9%88%D8%A7%D8%AF%D8%8C_%D8%A7%D9%84%D8%B9%D9%8A%D9%88%D9%86.jpg
WRONG,Algeria,Constantine,Cirta National Museum,scanned plate of Punic inscriptions,constantine,7,images/landmarks/constantine-cirta-national-museum.webp,https://commons.wikimedia.org/wiki/File:Lazare_Costa_inscriptions_in_Lidzbarski%27s_Handbuch_der_Nordsemitischen_Epigraphik_Table_XV_(cropped).jpg
WRONG,Bangladesh,Saint Martin's Island,Saint Martin's Bazaar,historic engraving of a battle scene,saint-martin-s-island,7,images/landmarks/saint-martin-s-island-saint-martin-s-bazaar.webp,https://commons.wikimedia.org/wiki/File:Invasion_of_Re1627.jpg
