rank,visitors_m,city_gaps,country,city,landmark,slug,idx,flickr_search_url,photo_url,owner,owner_url,status,notes
11.4,3.8,3,Egypt,Hurghada,El Dahar Old Town and Bazaar,hurghada,3,https://www.flickr.com/search/?text=El%20Dahar%20Old%20Town%20and%20Bazaar%20Hurghada&license=0,,,,not asked,
11.4,3.8,3,Egypt,Hurghada,Dolphin House Reef (Sha'ab El Erg),hurghada,8,https://www.flickr.com/search/?text=Dolphin%20House%20Reef%20(Sha'ab%20El%20Erg)%20Hurghada&license=0,,,,not asked,
11.4,3.8,3,Egypt,Hurghada,Eastern Desert Bedouin villages and dunes,hurghada,9,https://www.flickr.com/search/?text=Eastern%20Desert%20Bedouin%20villages%20and%20dunes%20Hurghada&license=0,,,,not asked,
9.6,4.8,2,Dominican Republic,Punta Cana,Indigenous Eyes Ecological Park (Reserva Ecológica Ojos Indígenas),punta-cana,6,https://www.flickr.com/search/?text=Indigenous%20Eyes%20Ecological%20Park%20(Reserva%20Ecológica%20Ojos%20Indígenas)%20Punta%20Cana&license=0,,,,not asked,
9.6,4.8,2,Dominican Republic,Punta Cana,Marinarium,punta-cana,8,https://www.flickr.com/search/?text=Marinarium%20Punta%20Cana&license=0,,,,not asked,
9,9,1,Thailand,Pattaya-Chonburi,Underwater World Pattaya,pattaya-chonburi,9,https://www.flickr.com/search/?text=Underwater%20World%20Pattaya%20Pattaya-Chonburi&license=0,,,,not asked,
8,4,2,Iraq,Karbala,Khaymagah (Camp of Imam Husayn),karbala,4,https://www.flickr.com/search/?text=Khaymagah%20(Camp%20of%20Imam%20Husayn)%20Karbala&license=0,,,,not asked,
8,4,2,Iraq,Karbala,Karbala Old City Souks,karbala,7,https://www.flickr.com/search/?text=Karbala%20Old%20City%20Souks%20Karbala&license=0,,,,not asked,
7,7,1,Thailand,Phuket,Naka Weekend Market,phuket,9,https://www.flickr.com/search/?text=Naka%20Weekend%20Market%20Phuket&license=0,,,,not asked,
6,3,2,Mexico,Playa del Carmen,Cenote Chaak Tun,playa-del-carmen,5,https://www.flickr.com/search/?text=Cenote%20Chaak%20Tun%20Playa%20del%20Carmen&license=0,,,,not asked,
6,3,2,Mexico,Playa del Carmen,Punta Esmeralda,playa-del-carmen,8,https://www.flickr.com/search/?text=Punta%20Esmeralda%20Playa%20del%20Carmen&license=0,,,,not asked,
5.0,2.5,2,Türkiye,Alanya,Alanya Harbour and Lovers' Cave Boat Tours,alanya,9,https://www.flickr.com/search/?text=Alanya%20Harbour%20and%20Lovers'%20Cave%20Boat%20Tours%20Alanya&license=0,,,,not asked,
4.6,2.3,2,China,Zhuhai,Qi'ao Island Mangrove Wetland,zhuhai,4,https://www.flickr.com/search/?text=Qi'ao%20Island%20Mangrove%20Wetland%20Zhuhai&license=0,,,,not asked,
4.6,2.3,2,China,Zhuhai,Jida Fisherman's Wharf,zhuhai,7,https://www.flickr.com/search/?text=Jida%20Fisherman's%20Wharf%20Zhuhai&license=0,,,,not asked,
4.5,4.5,1,Saudi Arabia,Riyadh,Al Bujairi Heritage Park,riyadh,8,https://www.flickr.com/search/?text=Al%20Bujairi%20Heritage%20Park%20Riyadh&license=0,,,,not asked,
4,2,2,Vietnam,Hoi An,Tra Que Vegetable Village,hoi-an,8,https://www.flickr.com/search/?text=Tra%20Que%20Vegetable%20Village%20Hoi%20An&license=0,,,,not asked,
4,4,1,Vietnam,Nha Trang,Thap Ba Hot Springs and Mud Baths,nha-trang,8,https://www.flickr.com/search/?text=Thap%20Ba%20Hot%20Springs%20and%20Mud%20Baths%20Nha%20Trang&license=0,,,,not asked,
3.6,1.2,3,Türkiye,Marmaris,Kaleiçi (Old Town),marmaris,1,https://www.flickr.com/search/?text=Kaleiçi%20(Old%20Town)%20Marmaris&license=0,,,,not asked,
3.6,1.2,3,Türkiye,Marmaris,Uzunyalı Promenade (Long Beach),marmaris,3,https://www.flickr.com/search/?text=Uzunyalı%20Promenade%20(Long%20Beach)%20Marmaris&license=0,,,,not asked,
3.6,1.2,3,Türkiye,Marmaris,Marmaris Grand Bazaar,marmaris,9,https://www.flickr.com/search/?text=Marmaris%20Grand%20Bazaar%20Marmaris&license=0,,,,not asked,
3.3,1.1,3,Morocco,Agadir,Musee du Patrimoine Amazigh (Amazigh Heritage Museum),agadir,4,https://www.flickr.com/search/?text=Musee%20du%20Patrimoine%20Amazigh%20(Amazigh%20Heritage%20Museum)%20Agadir&license=0,,,,not asked,
3.3,1.1,3,Morocco,Agadir,La Medina d'Agadir (Medina Polizzi),agadir,7,https://www.flickr.com/search/?text=La%20Medina%20d'Agadir%20(Medina%20Polizzi)%20Agadir&license=0,,,,not asked,
3.2,1.6,2,Türkiye,Denizli,Denizli Teleferik and Bağbaşı Plateau,denizli,4,https://www.flickr.com/search/?text=Denizli%20Teleferik%20and%20Bağbaşı%20Plateau%20Denizli&license=0,,,,not asked,
3.2,1.6,2,Türkiye,Denizli,Kaleiçi Bazaar,denizli,8,https://www.flickr.com/search/?text=Kaleiçi%20Bazaar%20Denizli&license=0,,,,not asked,
3.0,1.5,2,Greece,Corfu,Vlacherna Monastery and Pontikonisi (Mouse Island),corfu,3,https://www.flickr.com/search/?text=Vlacherna%20Monastery%20and%20Pontikonisi%20(Mouse%20Island)%20Corfu&license=0,,,,not asked,
3.0,1.5,2,Greece,Corfu,Kanoni viewpoint,corfu,7,https://www.flickr.com/search/?text=Kanoni%20viewpoint%20Corfu&license=0,,,,not asked,
2.8,1.4,2,Germany,Cologne,4711 House of Fragrances (Glockengasse),cologne,9,https://www.flickr.com/search/?text=4711%20House%20of%20Fragrances%20(Glockengasse)%20Cologne&license=0,,,,not asked,
2.6,2.6,1,Egypt,Sharm El Sheikh,Old Market (Sharm El Maya),sharm-el-sheikh,3,https://www.flickr.com/search/?text=Old%20Market%20(Sharm%20El%20Maya)%20Sharm%20El%20Sheikh&license=0,,,,not asked,
2.5,2.5,1,Malaysia,Johor Bahru,Hutan Bandar Recreational Park (City Forest),johor-bahru,9,https://www.flickr.com/search/?text=Hutan%20Bandar%20Recreational%20Park%20(City%20Forest)%20Johor%20Bahru&license=0,,,,not asked,
2.4,1.2,2,France,Colmar,Quai de la Poissonnerie (Fishmonger's Quay),colmar,7,https://www.flickr.com/search/?text=Quai%20de%20la%20Poissonnerie%20(Fishmonger's%20Quay)%20Colmar&license=0,,,,not asked,
2.4,1.2,2,Jamaica,Montego Bay,Cinnamon Hill Great House,montego-bay,5,https://www.flickr.com/search/?text=Cinnamon%20Hill%20Great%20House%20Montego%20Bay&license=0,,,,not asked,
2.4,1.2,2,Jamaica,Montego Bay,Rocklands Bird Sanctuary,montego-bay,7,https://www.flickr.com/search/?text=Rocklands%20Bird%20Sanctuary%20Montego%20Bay&license=0,,,,not asked,
2.1,0.7,3,Lesotho,Maseru,Royal Palace of Lesotho,maseru,1,https://www.flickr.com/search/?text=Royal%20Palace%20of%20Lesotho%20Maseru&license=0,,,,not asked,
2.1,0.7,3,Lesotho,Maseru,Lancer's Gap,maseru,7,https://www.flickr.com/search/?text=Lancer's%20Gap%20Maseru&license=0,,,,not asked,
2.1,0.7,3,Lesotho,Maseru,Maseru Club,maseru,8,https://www.flickr.com/search/?text=Maseru%20Club%20Maseru&license=0,,,,not asked,
2,2,1,Maldives,Malé,Muleeaage Palace,male,7,https://www.flickr.com/search/?text=Muleeaage%20Palace%20Malé&license=0,,,,not asked,
2,1,2,Türkiye,Kuşadası,Kuşadası Grand Bazaar,kusadasi,8,https://www.flickr.com/search/?text=Kuşadası%20Grand%20Bazaar%20Kuşadası&license=0,,,,not asked,
2,1,2,Türkiye,Kuşadası,Kordon Promenade,kusadasi,9,https://www.flickr.com/search/?text=Kordon%20Promenade%20Kuşadası&license=0,,,,not asked,
1.8,0.9,2,Dominican Republic,Puerto Plata,Museo del Ámbar,puerto-plata,4,https://www.flickr.com/search/?text=Museo%20del%20Ámbar%20Puerto%20Plata&license=0,,,,not asked,
1.8,0.9,2,Dominican Republic,Puerto Plata,Parque Independencia,puerto-plata,5,https://www.flickr.com/search/?text=Parque%20Independencia%20Puerto%20Plata&license=0,,,,not asked,
1.8,0.9,2,Tanzania,Arusha,Maasai Market (Curio Market),arusha,3,https://www.flickr.com/search/?text=Maasai%20Market%20(Curio%20Market)%20Arusha&license=0,,,,not asked,
1.8,0.9,2,Tanzania,Arusha,The Tanzanite Experience Museum,arusha,8,https://www.flickr.com/search/?text=The%20Tanzanite%20Experience%20Museum%20Arusha&license=0,,,,not asked,
1.8,0.45,4,Togo,Lomé,Lomé Grand Marché Textile District,lome,6,https://www.flickr.com/search/?text=Lomé%20Grand%20Marché%20Textile%20District%20Lomé&license=0,,,,not asked,
1.8,0.45,4,Togo,Lomé,National Museum of Togo,lome,7,https://www.flickr.com/search/?text=National%20Museum%20of%20Togo%20Lomé&license=0,,,,not asked,
